Time,Exchange,Asset Class,Product Name,Product Code,Start Period,End Period,Maintenance,Currency,Maint. Vol. Scan
2020-05-16T17:29:19Z,NYM,AGRICULTURE,NYMEX COCOA,CJ,07/2020,03/2022,1300.0,USD,0.03
2020-05-16T17:29:19Z,NYM,AGRICULTURE,NYMEX COFFEE,KT,07/2020,03/2022,2000.0,USD,0.03
2020-05-16T17:29:19Z,NYM,AGRICULTURE,NYMEX COTTON,TT,07/2020,07/2020,1500.0,USD,0.03
2020-05-16T17:29:19Z,NYM,AGRICULTURE,NYMEX COTTON,TT,10/2020,05/2022,1400.0,USD,0.03
2020-05-16T17:29:19Z,NYM,AGRICULTURE,SUGAR 11 FUTURES NYMEX,YO,07/2020,05/2022,900.0,USD,0.03
2020-05-16T17:29:19Z,NYM,COAL,COAL API5 FOB NEWCASTLE ARG/MC FUT,ACM,05/2020,05/2020,4500.0,USD,0.08
2020-05-16T17:29:19Z,NYM,COAL,COAL API5 FOB NEWCASTLE ARG/MC FUT,ACM,06/2020,12/2021,4000.0,USD,0.08
2020-05-16T17:29:19Z,NYM,COAL,FOB AUS PREMIUM HARD COKING COAL,ACT,05/2020,03/2021,10000.0,USD,0.08
2020-05-16T17:29:19Z,NYM,COAL,FOB AUS PREMIUM HARD COKING COAL,ACT,04/2021,06/2021,6000.0,USD,0.08
2020-05-16T17:29:19Z,NYM,COAL,FOB AUS PREMIUM HARD COKING COAL,ACT,07/2021,12/2023,5500.0,USD,0.08
2020-05-16T17:29:19Z,NYM,COAL,AUSTRALIAN COKING (PLATTS) LOW VOL,ALW,05/2020,06/2020,11500.0,USD,0.08
2020-05-16T17:29:19Z,NYM,COAL,AUSTRALIAN COKING (PLATTS) LOW VOL,ALW,07/2020,08/2020,11250.0,USD,0.08
2020-05-16T17:29:19Z,NYM,COAL,AUSTRALIAN COKING (PLATTS) LOW VOL,ALW,09/2020,03/2021,10250.0,USD,0.08
2020-05-16T17:29:19Z,NYM,COAL,AUSTRALIAN COKING (PLATTS) LOW VOL,ALW,04/2021,06/2021,7500.0,USD,0.08
2020-05-16T17:29:19Z,NYM,COAL,AUSTRALIAN COKING (PLATTS) LOW VOL,ALW,07/2021,12/2023,7000.0,USD,0.08
2020-05-16T17:29:19Z,NYM,COAL,COAL API2 ARGUS/MCCLOS CAL STRP SYN,CLP,01/2021,01/2021,31400.0,USD,12.000%
2020-05-16T17:29:19Z,NYM,COAL,COAL API2 ARGUS/MCCLOS CAL STRP SYN,CLP,01/2022,01/2022,29400.0,USD,12.000%
2020-05-16T17:29:19Z,NYM,COAL,COAL API2 ARGUS/MCCLOS CAL STRP SYN,CLP,01/2023,01/2023,28800.0,USD,12.000%
2020-05-16T17:29:19Z,NYM,COAL,CSX COAL QUART STRP SYNT,CPM,07/2020,04/2024,3000.0,USD,10.000%
2020-05-16T17:29:19Z,NYM,COAL,QRT STRP COAL ARG/MCLOS SYNT,F2B,07/2020,07/2020,9500.0,USD,12.000%
2020-05-16T17:29:19Z,NYM,COAL,QRT STRP COAL ARG/MCLOS SYNT,F2B,10/2020,10/2020,8450.0,USD,12.000%
2020-05-16T17:29:19Z,NYM,COAL,QRT STRP COAL ARG/MCLOS SYNT,F2B,01/2021,01/2021,8000.0,USD,12.000%
2020-05-16T17:29:19Z,NYM,COAL,QRT STRP COAL ARG/MCLOS SYNT,F2B,04/2021,10/2021,7800.0,USD,12.000%
2020-05-16T17:29:19Z,NYM,COAL,QRT STRP COAL ARG/MCLOS SYNT,F2B,01/2022,01/2022,7600.0,USD,12.000%
2020-05-16T17:29:19Z,NYM,COAL,QRT STRP COAL ARG/MCLOS SYNT,F2B,04/2022,04/2022,7400.0,USD,12.000%
2020-05-16T17:29:19Z,NYM,COAL,QRT STRP COAL ARG/MCLOS SYNT,F2B,07/2022,10/2022,7200.0,USD,12.000%
2020-05-16T17:29:19Z,NYM,COAL,COAL API2 ARGUS/MCCLOS CALSTRIP,F2M,01/2021,01/2021,31400.0,USD,12.000%
2020-05-16T17:29:19Z,NYM,COAL,COAL API2 ARGUS/MCCLOS CALSTRIP,F2M,01/2022,01/2022,29400.0,USD,12.000%
2020-05-16T17:29:19Z,NYM,COAL,QRT STRP COAL ARG/MCLS FOB RB SYNT,F4B,07/2020,07/2020,16800.0,USD,12.000%
2020-05-16T17:29:19Z,NYM,COAL,QRT STRP COAL ARG/MCLS FOB RB SYNT,F4B,10/2020,10/2020,13300.0,USD,12.000%
2020-05-16T17:29:19Z,NYM,COAL,QRT STRP COAL ARG/MCLS FOB RB SYNT,F4B,01/2021,01/2021,12100.0,USD,12.000%
2020-05-16T17:29:19Z,NYM,COAL,QRT STRP COAL ARG/MCLS FOB RB SYNT,F4B,04/2021,04/2021,11800.0,USD,12.000%
2020-05-16T17:29:19Z,NYM,COAL,QRT STRP COAL ARG/MCLS FOB RB SYNT,F4B,07/2021,07/2021,10700.0,USD,12.000%
2020-05-16T17:29:19Z,NYM,COAL,QRT STRP COAL ARG/MCLS FOB RB SYNT,F4B,10/2021,10/2021,10400.0,USD,12.000%
2020-05-16T17:29:19Z,NYM,COAL,QRT STRP COAL ARG/MCLS FOB RB SYNT,F4B,01/2022,01/2022,9400.0,USD,12.000%
2020-05-16T17:29:19Z,NYM,COAL,QRT STRP COAL ARG/MCLS FOB RB SYNT,F4B,04/2022,04/2022,9000.0,USD,12.000%
2020-05-16T17:29:19Z,NYM,COAL,QRT STRP COAL ARG/MCLS FOB RB SYNT,F4B,07/2022,07/2022,8950.0,USD,12.000%
2020-05-16T17:29:19Z,NYM,COAL,QRT STRP COAL ARG/MCLS FOB RB SYNT,F4B,10/2022,10/2022,8750.0,USD,12.000%
2020-05-16T17:29:19Z,NYM,COAL,CAL STRP COAL ARG/MCLS FOB RB SYNT,F4M,01/2021,01/2021,45000.0,USD,12.000%
2020-05-16T17:29:19Z,NYM,COAL,CAL STRP COAL ARG/MCLS FOB RB SYNT,F4M,01/2022,01/2022,36100.0,USD,12.000%
2020-05-16T17:29:19Z,NYM,COAL,COAL (ICI4) INDONESIAN COAL INDEX,ICI,05/2020,05/2020,3250.0,USD,0.08
2020-05-16T17:29:19Z,NYM,COAL,COAL (ICI4) INDONESIAN COAL INDEX,ICI,06/2020,09/2020,3000.0,USD,0.08
2020-05-16T17:29:19Z,NYM,COAL,COAL (ICI4) INDONESIAN COAL INDEX,ICI,10/2020,12/2022,2900.0,USD,0.08
2020-05-16T17:29:19Z,NYM,COAL,MICRO COAL FOB NEWCASTLE FUT,M5F,05/2020,05/2020,45.0,USD,0.08
2020-05-16T17:29:19Z,NYM,COAL,MICRO COAL FOB NEWCASTLE FUT,M5F,06/2020,12/2021,40.0,USD,0.08
2020-05-16T17:29:19Z,NYM,COAL,COAL API4  RCH BAY ARGS MCCLOSKY FU,MFF,05/2020,05/2020,4903.0,USD,0.075
2020-05-19T06:06:52Z,NYM,COAL,COAL API4  RCH BAY ARGS MCCLOSKY FU,MFF,05/2020,05/2020,4129.0,USD,0.075
2020-05-20T06:06:07Z,NYM,COAL,COAL API4  RCH BAY ARGS MCCLOSKY FU,MFF,05/2020,05/2020,3870.0,USD,0.075
2020-05-21T06:05:49Z,NYM,COAL,COAL API4  RCH BAY ARGS MCCLOSKY FU,MFF,05/2020,05/2020,3612.0,USD,0.075
2020-05-22T06:07:20Z,NYM,COAL,COAL API4  RCH BAY ARGS MCCLOSKY FU,MFF,05/2020,05/2020,3354.0,USD,0.075
2020-05-23T06:09:24Z,NYM,COAL,COAL API4  RCH BAY ARGS MCCLOSKY FU,MFF,05/2020,05/2020,3096.0,USD,0.075
2020-05-26T00:23:52Z,NYM,COAL,COAL API4  RCH BAY ARGS MCCLOSKY FU,MFF,05/2020,05/2020,2322.0,USD,0.075
2020-05-27T06:09:34Z,NYM,COAL,COAL API4  RCH BAY ARGS MCCLOSKY FU,MFF,05/2020,05/2020,2064.0,USD,0.075
